zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
56289,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56207,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56208,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56235,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56231,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56262,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56267,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56265,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56215,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56248,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56249,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56244,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56339,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56271,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56276,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56278,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56226,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56227,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56225,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56221,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
29042,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29821,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29824,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29829,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29137,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29138,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29070,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29845,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29853,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29850,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29856,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29108,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29105,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29107,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29113,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29809,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29801,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29803,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29804,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29805,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29851,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
